Column1,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression-ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,nlimpute,num_doors,num_cylinders,engine_size_cc,power2weight_ratio
1,2,164,audi,gas,std,four,sedan,Front Wheel Drive,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,audi,4,4,1786,0.0436457
2,2,164,audi,gas,std,four,sedan,Four Wheel Drive,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,audi,4,5,2228,0.04072238
3,2,161,audi,gas,std,two,sedan,Front Wheel Drive,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,audi,2,5,2228,0.043877144
4,1,158,audi,gas,std,four,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,audi,4,5,2228,0.038677918
4,1,161,audi,gas,std,four,wagon,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,audi,4,5,2228,0.037237644
5,1,158,audi,gas,turbo,four,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,audi,4,5,2146,0.04536617
6,0,161,audi,gas,turbo,two,hatchback,Four Wheel Drive,front,99.5,178.2,67.9,52,3053,ohc,five,131,mpfi,3.13,3.4,7,160,5500,16,22,17859.16667,audi,2,5,2146,0.052407468
7,2,192,bmw,gas,std,two,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,bmw,2,4,1769,0.04217119
8,0,192,bmw,gas,std,four,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,bmw,4,4,1769,0.04217119
9,0,188,bmw,gas,std,two,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,bmw,2,6,2687,0.044649446
10,0,188,bmw,gas,std,four,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,bmw,4,6,2687,0.043761302
11,1,190,bmw,gas,std,four,sedan,Rear Wheel Drive,front,103.5,189,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,bmw,4,6,2687,0.039607201
12,0,190,bmw,gas,std,four,sedan,Rear Wheel Drive,front,103.5,189,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,bmw,4,6,3424,0.056346749
13,0,190,bmw,gas,std,two,sedan,Rear Wheel Drive,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,bmw,2,6,3424,0.053846154
14,0,190,bmw,gas,std,four,sedan,Rear Wheel Drive,front,110,197,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,bmw,4,6,3424,0.05192582
15,2,121,chevrolet,gas,std,two,hatchback,Front Wheel Drive,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,,2,3,999,0.032258065
16,1,98,chevrolet,gas,std,two,hatchback,Front Wheel Drive,front,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,,2,4,1474,0.037353255
17,0,81,chevrolet,gas,std,four,sedan,Front Wheel Drive,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,,4,4,1474,0.036668413
18,1,118,dodge,gas,std,two,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,,2,4,1474,0.036247335
19,1,118,dodge,gas,std,two,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,,2,4,1474,0.036247335
20,1,118,dodge,gas,turbo,two,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,,2,4,1605,0.047932331
21,1,148,dodge,gas,std,four,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,,4,4,1474,0.034570412
22,1,148,dodge,gas,std,four,sedan,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,,4,4,1474,0.034188034
23,1,148,dodge,gas,std,four,sedan,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,,4,4,1474,0.034188034
25,-1,110,dodge,gas,std,four,wagon,Front Wheel Drive,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,,4,4,1999,0.034714004
26,3,145,dodge,gas,turbo,two,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964,,2,4,2556,0.051583067
27,2,137,honda,gas,std,two,hatchback,Front Wheel Drive,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,,2,4,1507,0.033858727
